domain_similarity,url_length,http_protocol,num_dot,num_slash,num_double_slash,num_hyphen,num_underscore,num_equal,num_paranthesis,num_curly_bracket,num_square_bracket,num_less_and_greater,num_tilde,num_asterisk,num_plus,url_inc_at,url_inc_ip,response_history,redirect,num_a_href,num_input,num_button,num_link_href,num_iframe,class
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,141,2,0,10,1,0
1.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,44,0,5,7,0,0
0.91,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,123,3,2,13,4,0
0.9,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,55,1,0,20,1,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.85,34,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,1
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,191,1,1,43,14,0
1.0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0.32,52,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,3,1,1,5,0,1
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,233,2,3,8,0,0
0.51,60,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.87,26,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,79,1,14,2,0,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,109,0,0,24,2,0
0.89,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,92,1,5,30,1,0
0.76,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,374,2,1,5,1,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,1,1,3,1,0
0.59,60,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,3,1,1,3,0,1
0.82,52,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.8,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
0.87,39,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
0.35,71,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,2,4,1
0.87,47,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,18,1,0,5,0,1
1.0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,86,1,1,2,2,0
0.33,49,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,1,0,1
0.85,24,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,160,1,3,11,1,0
0.84,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,6,0,1
0.37,70,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,475,4,1,7,2,0
1.0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,28,1,2,16,2,0
1.0,44,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,58,1,2,8,0,0
0.87,64,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
1.0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,284,7,17,9,0,0
0.74,65,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
1.0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,35,2,2,31,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,2,3,3,1,0
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
0.86,33,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.51,74,1,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.6,47,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1
0.85,27,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,472,8,105,6,11,0
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,145,1,25,27,2,0
1.0,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,0
0.78,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,2,1,1,6,2,1
0.55,53,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.6,60,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,1,0,0,0,1
0.82,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,3,0,1
0.92,37,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,133,5,6,1,0,0
0.79,35,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,3,0,1
0.89,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,101,1,0,7,0,0
