domain_similarty,url_length,http_protocol,no_dots,no_slash,no_double_slash,no_hyphen,no_underscore,no_equals,no_parantheses,no_curly_brakets,no_square_brakets,no_greater_and_smaller,no_tilde,no_asterick,no_plus,have_at_symbol,url_inc_ip,response_history,redirect,no_a_href_links,no_inputs,no_buttons,no_link_href,no_iframe,result
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,37,1,13,4,0,0
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,45,2,8,11,3,0
0.87,35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,49,1,2,24,0,1
0.49,64,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,1,1,3,0,1
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20,0,0,3,1,0
0.88,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,42,0,2,2,0,0
0.56,59,1,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,2,0,1
0.32,63,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,1,6,15,1,1,1
0.88,36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,1
0.87,27,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,42,1,1,54,0,0
0.47,75,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,25,0,7,1,0,1,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.57,78,1,1,1,1,5,0,2,0,0,0,0,0,0,0,0,0,13,1,11,0,0,6,0,1
0.27,37,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,20,1,1,0,0,12,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,42,0,0,5,1,0
1.0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,37,0,0,2,0,0
0.69,56,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.88,48,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0
0.91,45,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,314,2,10,16,2,0
0.6,78,1,1,1,1,5,0,2,0,0,0,0,0,0,0,0,0,13,1,11,0,0,6,0,1
0.56,26,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,147,2,4,12,4,0
1.0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,40,1,0,18,0,0
0.79,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.65,35,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,19,1,0,5,0,1
0.92,37,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,34,0,0,18,0,0
0.87,34,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
1.0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,357,0,1,22,0,0
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,200,2,2,7,1,0
0.34,54,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,2,24,0,1
0.5,57,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,3,3,0,1
0.91,56,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,54,0,3,8,0,0
0.59,53,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
1.0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,54,0,3,13,0,0
0.53,45,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,3,0,0,2,0,1
0.8,33,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,18,2,7,7,1,1
0.44,61,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.61,44,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
